"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.parsePName:()Lcom/fasterxml/aalto/in/PName;","20","0","4","0","0","382","51","2166.8664806331117","128.0","277358.9095210383","0.7222888268777039","0","0","1","236","146","","findPName","growArrayBy","XMLStreamException","","protected","42"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.parseNewEntityName:(B)Lcom/fasterxml/aalto/in/PName;","2","1","2","0","0","40","23","180.94247824228052","6.0","1085.6548694536832","0.0603141594140935","0","0","0","22","18","","parseEntityName throwUnexpectedChar","","XMLStreamException","","protected final","7"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.parseEntityName:()Lcom/fasterxml/aalto/in/PName;","23","0","4","0","0","491","64","2946.0","108.0","318168.0","0.982","0","0","1","306","185","","findPName","growArrayBy","XMLStreamException","","protected final","61"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handlePartialCR:()Z","3","0","0","0","0","67","25","311.1383647149065","16.0","4978.213835438504","0.10371278823830217","0","0","0","42","25","","throwInternal","","","","protected final","10"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.decodeUtf8_2:(I)I","2","1","2","0","0","53","30","260.0652015672515","9.0","2340.5868141052633","0.08668840052241716","0","0","0","33","20","","reportInvalidOther","","XMLStreamException","","protected final","4"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.skipUtf8_2:(I)V","2","1","2","0","0","39","23","176.41891628622352","7.0","1234.9324140035646","0.05880630542874117","0","0","0","24","15","","reportInvalidOther","","XMLStreamException","","protected final","4"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.decodeUtf8_3:(I)I","8","1","3","0","0","141","39","745.2417128595771","30.0","22357.251385787313","0.2484139042865257","0","0","0","83","58","","reportInvalidOther handleInvalidXmlChar","","XMLStreamException","","protected final","14"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.decodeUtf8_3:(III)I","8","3","4","0","0","101","36","522.1624251456735","16.0","8354.598802330776","0.17405414171522451","0","0","0","59","42","","reportInvalidOther handleInvalidXmlChar","","XMLStreamException","","protected final","10"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.decodeUtf8_4:(I)I","4","1","2","0","0","157","32","785.0","36.0","28260.0","0.26166666666666666","0","0","0","96","61","","reportInvalidOther","","XMLStreamException","","protected final","12"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.decodeUtf8_4:(IIII)I","4","4","5","0","0","110","30","539.757965516937","14.0","7556.611517237118","0.17991932183897902","0","0","0","67","43","","reportInvalidOther","","XMLStreamException","","protected final","9"
"com/fasterxml/aalto/async/AsyncByteBufferScanner.<init>:(Lcom/fasterxml/aalto/in/ReaderConfig;)V","1","1","1","1","0","18","12","64.52932501298082","3.0","193.58797503894246","0.02150977500432694","0","0","0","10","8","ReaderConfig","","<init>","","","public","4"
"com/fasterxml/aalto/async/AsyncByteBufferScanner.toString:()Ljava/lang/String;","1","0","0","0","0","35","18","145.94737505048093","3.0","437.8421251514428","0.04864912501682698","0","1","0","17","18","","","toString <init> append","","","public","1"
"com/fasterxml/aalto/async/AsyncByteBufferScanner.parseCommentContents:()I","27","0","11","3","1","593","81","3759.5310517105827","95.0","357155.44991250534","1.2531770172368608","3","0","3","352","241","char[] ByteBuffer int[]","handleCommentPending reportInvalidInitial decodeUtf8_2 decodeUtf8_3 markLF decodeUtf8_4 reportDoubleHyphenInComments handleInvalidXmlChar","getBufferWithoutReset getCurrentLength finishCurrentSegment get setCurrentLength","XMLStreamException","","protected","83"
"com/fasterxml/aalto/async/AsyncByteBufferScanner.handleCommentPending:()I","4","0","1","0","0","135","40","718.4602928097939","20.0","14369.205856195878","0.23948676426993132","0","0","0","80","55","","reportDoubleHyphenInComments handleAndAppendPending","get append","XMLStreamException","","protected","20"
"com/fasterxml/aalto/async/AsyncByteBufferScanner.parsePIData:()I","25","0","11","3","2","553","76","3455.1039149343032","90.0","310959.35234408727","1.151701304978101","6","0","3","328","225","char[] ByteBuffer int[]","handlePIPending reportInvalidInitial decodeUtf8_2 decodeUtf8_3 markLF decodeUtf8_4 handleInvalidXmlChar","getBufferWithoutReset getCurrentLength finishCurrentSegment get setCurrentLength","XMLStreamException","","protected","78"
"com/fasterxml/aalto/async/AsyncByteBufferScanner.handlePIPending:()I","2","0","1","0","0","83","36","429.1037751197119","20.0","8582.075502394238","0.14303459170657062","0","0","0","50","33","","handleAndAppendPending","get append","XMLStreamException","","protected","13"
"com/fasterxml/aalto/async/AsyncByteBufferScanner.handleDTDInternalSubset:(Z)Z","33","1","13","4","2","580","77","3634.736193603043","120.0","436168.34323236515","1.2115787312010142","6","0","3","348","232","char[] ByteBuffer int[]","reportInvalidInitial decodeUtf8_2 decodeUtf8_3 markLF handleAndAppendPending decodeUtf8_4 handleInvalidXmlChar","getBufferWithoutReset resetWithEmpty getCurrentLength finishCurrentSegment get setCurrentLength","XMLStreamException","","protected final","84"
