"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/asteriskjava/config/ConfigFileReader.parseDirective:(Ljava/lang/String;ILjava/lang/String;)Lorg/asteriskjava/config/ConfigDirective;","16","3","13","9","1","304","74","1887.673823151201","32.0","60405.562340838434","0.629224607717067","1","8","1","181","123","String StringBuilder ConfigDirective","","trim valueOf toLowerCase length toString isWhitespace <init> equalsIgnoreCase charAt append substring","ConfigParseException","MissingDirectiveParameterException UnknownDirectiveException ","","30"
"org/asteriskjava/config/ConfigFileReader.parseVariable:(Ljava/lang/String;ILjava/lang/String;)Lorg/asteriskjava/config/ConfigVariable;","4","3","6","4","0","109","44","595.0780464314654","22.0","13091.717021492239","0.19835934881048847","0","3","0","66","43","String","","trim valueOf length <init> indexOf substring charAt","ConfigParseException","MissingEqualSignException","protected","8"
"org/asteriskjava/config/ConfigFileReader.inheritCategory:(Lorg/asteriskjava/config/Category;Lorg/asteriskjava/config/Category;)V","1","2","2","2","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Category","","addBaseCategory","","","","2"
"org/asteriskjava/config/ConfigFileReader.appendCategory:(Lorg/asteriskjava/config/Category;)V","1","1","1","1","0","20","13","74.00879436282185","3.0","222.02638308846554","0.024669598120940616","0","0","0","11","9","Category","","getName put","","","","3"
"org/asteriskjava/config/ConfigFileReader.<clinit>:()V","1","0","0","0","0","34","20","146.94555522617034","4.0","587.7822209046814","0.048981851742056784","0","1","0","18","16","","","add <init>","","","static","7"
"org/asteriskjava/config/ConfigParseException.<init>:(Ljava/lang/String;ILjava/lang/String;)V","1","3","3","2","0","19","12","68.11428751370197","2.0","136.22857502740393","0.022704762504567322","0","0","0","10","9","String","","<init>","","Exception","public","4"
"org/asteriskjava/config/ConfigParseException.<init>:(Ljava/lang/String;ILjava/lang/String;[Ljava/lang/Object;)V","1","4","4","3","0","23","15","89.85848369899593","3.0","269.57545109698776","0.02995282789966531","0","0","0","12","11","String Object[]","","format <init>","","Exception","public","4"
"org/asteriskjava/config/ConfigParseException.getFileName:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigParseException.getLineNumber:()I","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigVariable.<init>:(Ljava/lang/String;Ljava/lang/String;)V","1","2","2","2","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","String","setName setValue","<init>","","","public","4"
"org/asteriskjava/config/ConfigVariable.<init>:(Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;)V","1","4","4","3","0","21","13","77.70923408096293","2.0","155.41846816192586","0.025903078026987644","0","0","0","11","10","String","setName setValue","<init>","","","public","4"
"org/asteriskjava/config/ConfigVariable.getName:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigVariable.setName:(Ljava/lang/String;)V","1","1","1","1","0","17","14","64.72503367497926","4.0","258.90013469991703","0.021575011224993085","0","1","0","10","7","String","","<init>","","IllegalArgumentException","public","4"
"org/asteriskjava/config/ConfigVariable.getValue:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigVariable.setValue:(Ljava/lang/String;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","String","","","","","public","2"
"org/asteriskjava/config/ConfigVariable.rawFormat:(Ljava/lang/StringBuilder;)Ljava/lang/StringBuilder;","2","1","1","1","0","29","12","103.96391252091354","6.0","623.7834751254812","0.03465463750697118","0","0","0","16","13","StringBuilder","","append","","","protected","4"
"org/asteriskjava/config/ConfigVariable.toString:()Ljava/lang/String;","1","0","0","0","0","23","15","89.85848369899593","3.0","269.57545109698776","0.02995282789966531","0","1","0","12","11","","","toString <init> append","","","public","1"
