"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/mozilla/hadoop/Backup.main:([Ljava/lang/String;)V","1","1","2","1","0","21","16","84.0","4.0","336.0","0.028","0","2","0","12","9","String[]","<init>","exit run <init>","Exception","","public static","3"
"com/mozilla/hadoop/Backup.access$000:(Ljava/io/Closeable;)V","1","1","1","1","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","Closeable","checkAndClose","","","","static","1"
"com/mozilla/hadoop/Backup.access$100:()Lorg/apache/log4j/Logger;","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","static","1"
"com/mozilla/hadoop/Backup.<clinit>:()V","1","0","0","0","0","6","6","15.509775004326936","1.0","15.509775004326936","0.005169925001442312","0","0","0","3","3","","","getLogger","","","static","1"
"com/mozilla/hadoop/ClusterHealth.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"com/mozilla/hadoop/ClusterHealth.testThrift:(Ljava/lang/String;)Z","5","1","7","6","0","183","49","1027.491901473083","22.0","22604.821832407826","0.3424973004910277","0","7","0","111","72","Hbase$Client IOError TException String TTransport TTransportException","","println getColumnDescriptors format getMessage <init> wrap close open","","TException TTransportException ","private static","25"
"com/mozilla/hadoop/ClusterHealth.main:([Ljava/lang/String;)V","14","1","31","20","1","665","122","4608.940329479319","63.0","290363.2407571971","1.5363134431597731","3","11","5","381","284","ClusterStatus String ServerName DatanodeInfo[] DFSClient IOException HServerLoad String[] MasterNotRunningException Configuration DatanodeInfo HBaseAdmin","testThrift","next getClusterStatus getServers println iterator getHostname getDeadServers get getDeadServerNames getNonDfsUsed getRequestsCount create close getRegionsCount getLoad getDfsUsed getHostName printStackTrace datanodeReport getNumberOfRegions valueOf getMaxHeapMB format hasNext <init> getXceiverCount getNumberOfRequests exit toString getUsedHeapMB append getCapacity","","IOException","public static","84"
"com/mozilla/hadoop/ClusterHealth.<clinit>:()V","1","0","0","0","0","6","6","15.509775004326936","1.0","15.509775004326936","0.005169925001442312","0","0","0","3","3","","","toBytes","","","static","1"
"com/mozilla/hadoop/fs/SequenceFileDirectoryReader.<init>:(Lorg/apache/hadoop/fs/Path;)V","4","1","3","3","0","109","47","605.4501848328625","10.0","6054.501848328626","0.20181672827762084","0","2","1","59","50","Path FileStatus","","add iterator getName toUri get getPath listStatus <init> isDir startsWith","IOException","","public","11"
"com/mozilla/hadoop/fs/SequenceFileDirectoryReader.nextReader:()Z","2","0","0","0","0","55","26","258.5241844977601","14.0","3619.3385829686413","0.08617472816592002","0","2","0","31","24","","","next hasNext <init> close","IOException","","private","7"
"com/mozilla/hadoop/fs/SequenceFileDirectoryReader.close:()V","3","0","2","2","0","43","18","179.30677506201943","8.0","1434.4542004961554","0.059768925020673144","0","0","0","23","20","IOException","","error close","","","public","11"
"com/mozilla/hadoop/fs/SequenceFileDirectoryReader.next:(Lorg/apache/hadoop/io/Writable;Lorg/apache/hadoop/io/Writable;)Z","4","2","3","2","0","51","18","212.66617507355792","15.0","3189.992626103369","0.0708887250245193","0","0","0","29","22","Writable","nextReader","next","IOException","","public","9"
"com/mozilla/hadoop/fs/SequenceFileDirectoryReader.<clinit>:()V","1","0","0","0","0","6","6","15.509775004326936","1.0","15.509775004326936","0.005169925001442312","0","0","0","3","3","","","getLogger","","","static","1"
