"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"net/wouterdanes/docker/maven/StartContainerMojo.waitForContainersToFinishStartup:()V","1","0","0","0","0","13","9","41.20902501875006","2.0","82.41805003750012","0.013736341672916687","0","0","0","7","6","","","filter stream forEach","","","private","4"
"net/wouterdanes/docker/maven/StartContainerMojo.waitForContainerToFinishStartup:(Lnet/wouterdanes/docker/provider/model/ContainerStartConfiguration;)V","5","1","10","8","1","185","70","1133.9173581348189","14.0","15874.843013887465","0.3779724527116063","0","5","1","107","78","String StartedContainerInfo ContainerStartConfiguration Optional Pattern InterruptedException","getDockerProvider getMojoGoalName getLog getInfoForContainerStartId registerPluginError","getWaitForStartup getStartupTimeout valueOf getLogs format isPresent getId matcher <init> error getContainerInfo sleep compile find get currentTimeMillis info","","","private","27"
"net/wouterdanes/docker/maven/StartContainerMojo.hasInvalidLinks:()Z","4","0","6","5","0","129","54","742.3804877790875","11.0","8166.185365569962","0.24746016259302916","0","5","2","73","56","String ContainerStartConfiguration ContainerLink List","getLog registerPluginError","next getContainerId add iterator contains getLinks getGoal format hasNext getId <init> error","","","private","16"
"net/wouterdanes/docker/maven/StartContainerMojo.hasDuplicateIds:()Z","2","0","3","3","0","97","44","529.5648670078178","9.0","4766.083803070361","0.1765216223359393","0","4","1","55","42","String ContainerStartConfiguration Set","getLog registerPluginError","next add iterator contains size getGoal format hasNext getId <init> error","","","private","12"
"net/wouterdanes/docker/maven/StartContainerMojo.exposePortsToProject:(Lnet/wouterdanes/docker/provider/model/ContainerStartConfiguration;Ljava/util/List;)V","1","2","2","2","0","11","8","33.0","1.0","33.0","0.011","0","0","0","6","5","ContainerStartConfiguration List","","forEach parallelStream","","","private","2"
"net/wouterdanes/docker/maven/StartContainerMojo.replaceImageWithBuiltImageIdIfInternalId:(Lnet/wouterdanes/docker/provider/model/ContainerStartConfiguration;)V","2","1","2","2","0","29","17","118.53642239625987","3.0","355.6092671887796","0.03951214079875329","0","1","0","16","13","ContainerStartConfiguration Optional","getBuiltImageForStartId","getImageId fromImage get isPresent getImage","","","private","4"
"net/wouterdanes/docker/maven/StartContainerMojo.replaceLinkedContainerIdsWithStartedNames:(Lnet/wouterdanes/docker/provider/model/ContainerStartConfiguration;)V","2","1","4","4","0","58","30","284.5996545452941","4.0","1138.3986181811763","0.09486655151509803","0","2","1","31","27","String ContainerStartConfiguration ContainerLink","getStartedContainers","next getContainerId filter iterator getLinks getName stream get hasNext findFirst toContainer getContainerInfo","","","private","9"
"net/wouterdanes/docker/maven/StartContainerMojo.setProject:(Lorg/apache/maven/project/MavenProject;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","MavenProject","","","","","public","2"
"net/wouterdanes/docker/maven/StartContainerMojo.setMojoExecution:(Lorg/apache/maven/plugin/MojoExecution;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","MojoExecution","","","","","public","2"
"net/wouterdanes/docker/maven/StartContainerMojo.addPropertyToProject:(Ljava/lang/String;Ljava/lang/String;)V","1","2","2","2","0","36","24","165.05865002596164","6.0","990.3519001557698","0.05501955000865388","0","1","0","22","14","String","getLog","getProperties setProperty format info","","","private","3"
"net/wouterdanes/docker/maven/StartContainerMojo.getMojoGoalName:()Ljava/lang/String;","1","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","protected","1"
